17:21:7:948 2017年8月31日,err = 131, CUserManager::Init 37  
17:21:24:506 2017年8月31日,err = 183, CUserManager::Init 37  
17:21:24:506 2017年8月31日,err = 183, CUserManager::Init 37  
17:21:24:507 2017年8月31日,err = 183, CUserManager::Init 37  
17:21:24:508 2017年8月31日,err = 183, CUserManager::Init 37  
17:21:24:508 2017年8月31日,err = 183, CUserManager::Init 37  
17:21:24:509 2017年8月31日,err = 183, CUserManager::Init 37  
17:21:24:510 2017年8月31日,err = 183, CUserManager::Init 37  
17:21:24:511 2017年8月31日,err = 183, CUserManager::Init 37  
17:21:24:511 2017年8月31日,err = 183, CUserManager::Init 37  
17:21:24:512 2017年8月31日,err = 183, CUserManager::Init 37  
17:21:24:513 2017年8月31日,err = 183, CUserManager::Init 37  
17:21:24:513 2017年8月31日,err = 183, CUserManager::Init 37  
17:21:24:514 2017年8月31日,err = 183, CUserManager::Init 37  
17:21:24:514 2017年8月31日,err = 183, CUserManager::Init 37  
17:21:24:515 2017年8月31日,err = 183, CUserManager::Init 37  
17:40:22:631 2017年8月31日,err = 183, CPlayer::Init 44 m_isAgree= 0 
17:40:24:574 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:40:24:808 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 187 playerNum= 4 
17:40:24:809 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:40:24:810 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 198 count= 0 
17:40:24:810 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 200 count == playerNum=[0]
17:41:4:639 2017年8月31日,err = 183, CPlayer::Init 44 m_isAgree= 0 
17:41:6:842 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:41:6:842 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:41:7:77 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 187 playerNum= 4 
17:41:7:78 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:41:7:79 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:41:7:80 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 198 count= 0 
17:41:7:80 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 200 count == playerNum=[0]
17:41:16:884 2017年8月31日,err = 183, CPlayer::Init 44 m_isAgree= 0 
17:41:19:225 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:41:19:226 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:41:19:227 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:41:19:449 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 187 playerNum= 4 
17:41:19:449 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:41:19:450 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:41:19:450 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:41:19:451 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 198 count= 0 
17:41:19:451 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 200 count == playerNum=[0]
17:41:33:170 2017年8月31日,err = 183, CPlayer::Init 44 m_isAgree= 0 
17:41:35:226 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:41:35:227 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:41:35:228 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:41:35:228 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:41:35:461 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 187 playerNum= 4 
17:41:35:461 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:41:35:462 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:41:35:462 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:41:35:463 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:41:35:463 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 198 count= 0 
17:41:35:464 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 200 count == playerNum=[0]
17:41:43:131 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 187 playerNum= 4 
17:41:43:132 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:41:43:132 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:41:43:133 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:41:43:133 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 198 count= 0 
17:41:43:133 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 200 count == playerNum=[0]
17:41:51:809 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 187 playerNum= 4 
17:41:51:809 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:41:51:809 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:41:51:810 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 198 count= 0 
17:41:51:810 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 200 count == playerNum=[0]
17:41:56:589 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 187 playerNum= 4 
17:41:56:590 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:41:56:591 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 198 count= 0 
17:41:56:591 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 200 count == playerNum=[0]
17:42:2:166 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 187 playerNum= 4 
17:42:2:166 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 198 count= 0 
17:42:2:166 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 200 count == playerNum=[0]
17:42:54:22 2017年8月31日,err = 183, CPlayer::Init 44 m_isAgree= 0 
17:42:55:859 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:42:56:96 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 187 playerNum= 4 
17:42:56:97 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:42:56:97 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 198 count= 0 
17:42:56:98 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 200 count == playerNum=[0]
17:43:7:893 2017年8月31日,err = 183, CPlayer::Init 44 m_isAgree= 0 
17:43:9:871 2017年8月31日,err = 183, CPlayer::Init 44 m_isAgree= 0 
17:43:9:997 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:43:9:997 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:43:9:998 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:43:10:307 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 187 playerNum= 4 
17:43:10:308 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:43:10:308 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:43:10:309 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:43:10:309 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 198 count= 0 
17:43:10:309 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 200 count == playerNum=[0]
17:43:11:559 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:43:11:559 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:43:11:560 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:43:11:807 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 187 playerNum= 4 
17:43:11:808 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:43:11:809 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:43:11:809 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:43:11:810 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 198 count= 0 
17:43:11:811 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 200 count == playerNum=[0]
17:43:15:984 2017年8月31日,err = 183, CPlayer::Init 44 m_isAgree= 0 
17:43:18:239 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:43:18:240 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:43:18:240 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:43:18:240 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:43:18:461 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 187 playerNum= 4 
17:43:18:462 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:43:18:462 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:43:18:463 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:43:18:463 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:43:18:464 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 198 count= 0 
17:43:18:464 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 200 count == playerNum=[0]
17:54:25:262 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 187 playerNum= 4 
17:54:25:263 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:54:25:263 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:54:25:264 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:54:25:264 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 198 count= 0 
17:54:25:265 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 200 count == playerNum=[0]
17:54:29:587 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 187 playerNum= 4 
17:54:29:587 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:54:29:588 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:54:29:588 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 198 count= 0 
17:54:29:589 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 200 count == playerNum=[0]
17:54:34:629 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 187 playerNum= 4 
17:54:34:629 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:54:34:630 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 198 count= 0 
17:54:34:630 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 200 count == playerNum=[0]
17:54:40:768 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 187 playerNum= 4 
17:54:40:770 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 198 count= 0 
17:54:40:770 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 200 count == playerNum=[0]
17:54:49:371 2017年8月31日,err = 183, CPlayer::Init 44 m_isAgree= 0 
17:54:51:333 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:54:51:564 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 187 playerNum= 4 
17:54:51:565 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:54:51:565 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 198 count= 0 
17:54:51:566 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 200 count == playerNum=[0]
17:55:7:507 2017年8月31日,err = 183, CPlayer::Init 44 m_isAgree= 0 
17:55:9:507 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:55:9:508 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:55:9:736 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 187 playerNum= 4 
17:55:9:737 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:55:9:737 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:55:9:738 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 198 count= 0 
17:55:9:739 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 200 count == playerNum=[0]
17:55:16:919 2017年8月31日,err = 183, CPlayer::Init 44 m_isAgree= 0 
17:55:18:955 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:55:18:956 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:55:18:956 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:55:19:180 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 187 playerNum= 4 
17:55:19:181 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:55:19:182 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:55:19:182 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:55:19:183 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 198 count= 0 
17:55:19:183 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 200 count == playerNum=[0]
17:55:24:577 2017年8月31日,err = 183, CPlayer::Init 44 m_isAgree= 0 
17:55:26:732 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:55:26:732 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:55:26:733 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:55:26:733 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:55:26:954 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 187 playerNum= 4 
17:55:26:955 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:55:26:956 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:55:26:956 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:55:26:957 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:55:26:957 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 198 count= 0 
17:55:26:958 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 200 count == playerNum=[0]
17:57:58:609 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 187 playerNum= 4 
17:57:58:610 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:57:58:610 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:57:58:611 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:57:58:611 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 198 count= 0 
17:57:58:612 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 200 count == playerNum=[0]
17:58:13:760 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 187 playerNum= 4 
17:58:13:760 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:58:13:761 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:58:13:761 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 198 count= 0 
17:58:13:762 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 200 count == playerNum=[0]
17:58:19:7 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 187 playerNum= 4 
17:58:19:7 2017年8月31日,err = 183, CPlayer::IsArgee 91 m_isAgree= 0 
17:58:19:8 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 198 count= 0 
17:58:19:8 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 200 count == playerNum=[0]
17:58:22:707 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 187 playerNum= 4 
17:58:22:708 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 198 count= 0 
17:58:22:708 2017年8月31日,err = 183, CServerGameDesk::CanBeginGame 200 count == playerNum=[0]
9:30:28:969 2017年9月1日,err = 183, CUserManager::Init 37  
9:30:28:970 2017年9月1日,err = 183, CUserManager::Init 37  
9:30:28:970 2017年9月1日,err = 183, CUserManager::Init 37  
9:30:28:971 2017年9月1日,err = 183, CUserManager::Init 37  
9:30:28:972 2017年9月1日,err = 183, CUserManager::Init 37  
9:30:28:972 2017年9月1日,err = 183, CUserManager::Init 37  
9:30:28:973 2017年9月1日,err = 183, CUserManager::Init 37  
9:30:28:974 2017年9月1日,err = 183, CUserManager::Init 37  
9:30:28:974 2017年9月1日,err = 183, CUserManager::Init 37  
9:30:28:975 2017年9月1日,err = 183, CUserManager::Init 37  
9:30:28:976 2017年9月1日,err = 183, CUserManager::Init 37  
9:30:28:977 2017年9月1日,err = 183, CUserManager::Init 37  
9:30:28:977 2017年9月1日,err = 183, CUserManager::Init 37  
9:30:28:978 2017年9月1日,err = 183, CUserManager::Init 37  
9:30:28:979 2017年9月1日,err = 183, CUserManager::Init 37  
9:30:28:979 2017年9月1日,err = 183, CUserManager::Init 37  
9:30:28:980 2017年9月1日,err = 183, CUserManager::Init 37  
9:30:28:980 2017年9月1日,err = 183, CUserManager::Init 37  
9:30:28:981 2017年9月1日,err = 183, CUserManager::Init 37  
9:30:28:982 2017年9月1日,err = 183, CUserManager::Init 37  
9:30:28:983 2017年9月1日,err = 183, CUserManager::Init 37  
9:30:28:983 2017年9月1日,err = 183, CUserManager::Init 37  
9:30:28:984 2017年9月1日,err = 183, CUserManager::Init 37  
9:30:28:985 2017年9月1日,err = 183, CUserManager::Init 37  
9:30:28:985 2017年9月1日,err = 183, CUserManager::Init 37  
9:30:28:986 2017年9月1日,err = 183, CUserManager::Init 37  
9:30:28:986 2017年9月1日,err = 183, CUserManager::Init 37  
9:30:28:987 2017年9月1日,err = 183, CUserManager::Init 37  
9:30:28:987 2017年9月1日,err = 183, CUserManager::Init 37  
9:30:28:988 2017年9月1日,err = 183, CUserManager::Init 37  
